Nom de la Station,Nom de la ligne,Niveau de pollution,pollution_num,stop_lat,stop_lon
Porte de Charenton,Métro 8,FAIBLE,1,48.83344922287947,2.402511872850073
Porte de Clignancourt,Métro 4,MOYENNE,2,48.897525631278015,2.344624099102791
Porte de Pantin,Métro 5,MOYENNE,2,48.88845921134684,2.3921229723281483
Porte de Saint-Cloud,Métro 9,MOYENNE,2,48.83799728287381,2.2567894964207142
Porte d'Ivry,Métro 7,FAIBLE,1,48.82135298833688,2.369294978223312
Ranelagh,Métro 9,MOYENNE,2,48.85550355839564,2.269948157934635
Richelieu - Drouot,Métro 9,MOYENNE,2,48.87213587031796,2.3385912215385414
Rome,Métro 2,MOYENNE,2,48.88234581879614,2.3213591738229726
Rue des Boulets,Métro 9,MOYENNE,2,48.85221407333194,2.3891047050322425
Saint-Ambroise,Métro 9,MOYENNE,2,48.86141665790915,2.3738805382115475
Saint-Augustin,Métro 9,MOYENNE,2,48.87454661293485,2.3210135978086
Saint-Denis - Université,Métro 13,MOYENNE,2,48.945911458883856,2.364494290510317
Saint-François-Xavier,Métro 13,MOYENNE,2,48.8512787565696,2.314407403528732
Saint-Philippe-du-Roule,Métro 9,ELEVE,3,48.87215513107743,2.3101372056878247
Saint-Placide,Métro 4,FAIBLE,1,48.84700665158937,2.327054815066312
Ségur,Métro 10,MOYENNE,2,48.84716726999503,2.307137849403385
Solférino,Métro 12,MOYENNE,2,48.85853194972854,2.323075964251541
Stalingrad,Métro 7,MOYENNE,2,48.88437303056126,2.3688985490576733
Strasbourg - Saint-Denis,Métro 9,MOYENNE,2,48.869349679171926,2.353731582673184
Strasbourg - Saint-Denis,Métro 4,FAIBLE,1,48.86962358263758,2.354491616563834
Trinité - d'Estienne d'Orves,Métro 12,MOYENNE,2,48.87633650730735,2.333049172418236
Vaugirard,Métro 12,FAIBLE,1,48.83953628376544,2.300977822126098
Voltaire,Métro 9,MOYENNE,2,48.85766243438601,2.3800316941488044
Aimé Césaire,Métro 12,FAIBLE,1,48.90843758066954,2.37813084516706
Alexandre Dumas,Métro 2,MOYENNE,2,48.856199097341126,2.394591418672128
Argentine,Métro 1,FAIBLE,1,48.87566737659971,2.289435418542214
Arts et Métiers,Métro 11,MOYENNE,2,48.86529961264491,2.3565081436435467
Aubervilliers-Pantin Quatre Chemins,Métro 7,MOYENNE,2,48.90375706036556,2.3922205712292195
Avenue Emile Zola,Métro 10,MOYENNE,2,48.84703801370517,2.2950189971435506
Bastille,Métro 1,MOYENNE,2,48.85196422011205,2.368692796099789
Bastille,Métro 5,MOYENNE,2,48.85328747830434,2.368922075646989
Belleville,Métro 11,MOYENNE,2,48.87198955568015,2.376684607718542
Bérault,Métro 1,FAIBLE,1,48.84549169626708,2.4292278831660283
Bercy,Métro 6,MOYENNE,2,48.840176028121896,2.379463070185257
Bobigny-Pantin - Raymond Queneau,Métro 5,MOYENNE,2,48.89560207433252,2.426308679232036
Bolivar,Métro 7B,MOYENNE,2,48.880789805531926,2.374152140698752
Bonne Nouvelle,Métro 9,MOYENNE,2,48.87049007203075,2.348428667867017
Boulogne Pont de Saint-Cloud,Métro 10,MOYENNE,2,48.84067248206251,2.2283125898228056
Champs-Elysées - Clemenceau,Métro 13,FAIBLE,1,48.86750083759083,2.31401668387612
Charenton - Ecoles,Métro 8,MOYENNE,2,48.82125590204953,2.413847237068526
Charles de Gaulle - Etoile,Métro 1,FAIBLE,1,48.87392926445533,2.2951172138230334
Charles de Gaulle - Etoile,Métro 2,MOYENNE,2,48.87494579313413,2.295927507409278
Châtelet,Métro 4,MOYENNE,2,48.859661211559086,2.3466414308440138
Châtelet,Métro 11,MOYENNE,2,48.85776111354502,2.3478374055687867
