station1,station2,connected
Danube,Louis Blanc,True
Duroc,Plaisance,True
Ledru-Rollin,Faidherbe - Chaligny,True
Gare de Lyon,Olympiades,True
Couronnes,Avron,True
Hoche,Oberkampf,True
Palais Royal - Musée du Louvre,Nation,True
Père Lachaise,Quatre Septembre,True
Saint-Mandé,Tuileries,True
Daumesnil,Créteil - Université,True
Ranelagh,Porte de Montreuil,True
Bobigny Pablo Picasso,Saint-Marcel,True
Les Gobelins,Le Peletier,True
Cardinal Lemoine,La Motte-Picquet - Grenelle,True
Pyrénées,Châtelet,True
Maraîchers,Havre-Caumartin,True
Porte de Champerret,Opéra,True
Saint-Denis - Université,Basilique de Saint-Denis,True
Place d'Italie,Stalingrad,True
Cambronne,Glacière,True
Malesherbes,Gambetta,True
Villejuif Paul Vaillant-Couturier,Villejuif - Louis Aragon,True
La Fourche,Brochant,True
Gambetta,Pelleport,True
Etienne Marcel,Alésia,True
Rue des Boulets,Croix de Chavaux,True
Réaumur - Sébastopol,Porte de Clignancourt,True
Maubert - Mutualité,Sèvres - Babylone,True
Franklin D. Roosevelt,Charonne,True
Front Populaire,Abbesses,True
Charenton - Ecoles,Porte de Charenton,True
Saint-François-Xavier,Saint-Lazare,True
Anvers,Avron,True
La Motte-Picquet - Grenelle,Daumesnil,True
Sèvres - Babylone,Pigalle,True
Denfert-Rochereau,Cité,True
Pasteur,Passy,True
Bibliothèque François Mitterrand,Bercy,True
Robespierre,Mairie de Montreuil,True
Gare de l'Est,Stalingrad,True
Boissière,Bel-Air,True
Parmentier,Père Lachaise,True
Château Rouge,Mairie de Montrouge,True
Place d'Italie,Porte d'Ivry,True
Porte d'Italie,Tolbiac,True
Châtelet,Barbès - Rochechouart,True
République,Balard,True
Pont Neuf,Maison Blanche,True
Barbès - Rochechouart,Blanche,True
Charles Michels,Chardon Lagache,True
Saint-Sébastien - Froissart,Filles du Calvaire,True
Temple,Porte de Bagnolet,True
Ourcq,Quai de la Rapée,True
Bastille,Reuilly - Diderot,True
Réaumur - Sébastopol,Vavin,True
Invalides,Madeleine,True
Gaîté,Mairie de Saint-Ouen,True
La Muette,Franklin D. Roosevelt,True
Riquet,Porte de la Villette,True
Porte de Vanves,Pernety,True
Notre-Dame-de-Lorette,Montparnasse Bienvenue,True
Aubervilliers-Pantin Quatre Chemins,Jussieu,True
Mairie d'Aubervilliers,Aimé Césaire,True
Hôtel de Ville,République,True
Porte de Montreuil,Ranelagh,True
Jussieu,Gare d'Austerlitz,True
Rue du Bac,Porte de Versailles,True
Marcel Sembat,Saint-Philippe-du-Roule,True
Porte d'Ivry,Place d'Italie,True
Exelmans,Saint-Philippe-du-Roule,True
Invalides,Montparnasse Bienvenue,True
Porte de Versailles,Porte de la Chapelle,True
Olympiades,Gare de Lyon,True
Pont de Sèvres,Michel-Ange - Auteuil,True
Lourmel,La Motte-Picquet - Grenelle,True
Champs-Elysées - Clemenceau,Place de Clichy,True
Daumesnil,La Motte-Picquet - Grenelle,True
Poissonnière,Palais Royal - Musée du Louvre,True
Opéra,Pont Marie (Cité des Arts),True
Ranelagh,Voltaire,True
Hôpital Bicêtre,L'Haÿ-les-Roses,True
Rambuteau,Télégraphe,True
Trinité - d'Estienne d'Orves,Solférino,True
Pigalle,Père Lachaise,True
Asnières - Gennevilliers Les Courtilles,Malakoff - Plateau de Vanves,True
Opéra,Madeleine,True
Courcelles,Colonel Fabien,True
Cité,Denfert-Rochereau,True
Quai de la Gare,La Motte-Picquet - Grenelle,True
Stalingrad,Gare de l'Est,True
Chaussée d'Antin - La Fayette,Louis Blanc,True
Cadet,Corentin Cariou,True
Pasteur,Convention,True
Glacière,Edgar Quinet,True
Louvre - Rivoli,Les Sablons,True
Alésia,Etienne Marcel,True
Balard,Créteil - Préfecture,True
Porte de Clichy,Saint-Denis - Pleyel,True
Reuilly - Diderot,Louvre - Rivoli,True
Arts et Métiers,Mairie des Lilas,True
Sèvres-Lecourbe,Raspail,True
Champs-Elysées - Clemenceau,Châtelet,True
Porte de Charenton,Porte Dorée,True
La Motte-Picquet - Grenelle,Cardinal Lemoine,True
Pelleport,Gambetta,True
Tolbiac,Porte d'Italie,True
Saint-Lazare,Saint-François-Xavier,True
Aimé Césaire,Vaugirard,True
