station1,station2,connected,temps_trajet_min,pollution_moyenne,pollution_station1,pollution_station2,lat_station1,lon_station1,lat_station2,lon_station2,ligne_metro
Avron,Alexandre Dumas,True,0.53,2.0,MOYENNE,MOYENNE,48.85164854359716,2.3981875566593973,48.856199097341126,2.394591418672128,Métro 2
Courcelles,Ternes,True,0.37,2.0,MOYENNE,MOYENNE,48.87926525411311,2.303294362425212,48.8782007528283,2.2981136521983068,Métro 2
Courcelles,Monceau,True,0.44,2.0,MOYENNE,MOYENNE,48.87926525411311,2.303294362425212,48.88056877012684,2.309412967374703,Métro 2
Place de Clichy,Blanche,True,0.31,2.0,MOYENNE,MOYENNE,48.88366908827266,2.32795832801022,48.88376635447715,2.3324843754343627,Métro 2
Place de Clichy,Rome,True,0.47,2.0,MOYENNE,MOYENNE,48.88366908827266,2.32795832801022,48.88234581879614,2.3213591738229726,Métro 2
Ternes,Charles de Gaulle - Etoile,True,0.37,2.0,MOYENNE,MOYENNE,48.8782007528283,2.2981136521983068,48.87494579313413,2.295927507409278,Métro 2
Anvers,Pigalle,True,0.4,2.5,MOYENNE,ELEVE,48.882868568843925,2.344154840330292,48.88226954222623,2.338257976509587,Métro 2
Anvers,Barbès - Rochechouart,True,0.45,2.0,MOYENNE,MOYENNE,48.882868568843925,2.344154840330292,48.88385234986188,2.350573400888514,Métro 2
Colonel Fabien,Jaurès,True,0.4,2.0,MOYENNE,MOYENNE,48.877695345805535,2.370576102819657,48.88159683079925,2.370269867509251,Métro 2
Colonel Fabien,Belleville,True,0.7,2.5,MOYENNE,ELEVE,48.877695345805535,2.370576102819657,48.87231407736167,2.3768306915222848,Métro 2
Ménilmontant,Couronnes,True,0.36,2.0,MOYENNE,MOYENNE,48.866440166781686,2.38353966877949,48.86932051914457,2.3805336747351005,Métro 2
Ménilmontant,Père Lachaise,True,0.49,2.5,MOYENNE,ELEVE,48.866440166781686,2.38353966877949,48.86248637862667,2.387689326065689,Métro 2
Pigalle,Blanche,True,0.42,2.5,ELEVE,MOYENNE,48.88226954222623,2.338257976509587,48.88376635447715,2.3324843754343627,Métro 2
Porte Dauphine,Victor Hugo,True,0.58,2.0,MOYENNE,MOYENNE,48.87139679524832,2.277632717545272,48.8698545716049,2.2859020006220643,Métro 2
Villiers,Rome,True,0.4,2.0,MOYENNE,MOYENNE,48.88121227337839,2.31576144923934,48.88234581879614,2.3213591738229726,Métro 2
Villiers,Monceau,True,0.43,2.0,MOYENNE,MOYENNE,48.88121227337839,2.31576144923934,48.88056877012684,2.309412967374703,Métro 2
Belleville,Couronnes,True,0.4,2.5,ELEVE,MOYENNE,48.87231407736167,2.3768306915222848,48.86932051914457,2.3805336747351005,Métro 2
Victor Hugo,Charles de Gaulle - Etoile,True,0.86,2.0,MOYENNE,MOYENNE,48.8698545716049,2.2859020006220643,48.87494579313413,2.295927507409278,Métro 2
Père Lachaise,Philippe Auguste,True,0.49,2.5,ELEVE,MOYENNE,48.86248637862667,2.387689326065689,48.85808942813576,2.390497596745289,Métro 2
Alexandre Dumas,Philippe Auguste,True,0.34,2.0,MOYENNE,MOYENNE,48.856199097341126,2.394591418672128,48.85808942813576,2.390497596745289,Métro 2
Barbès - Rochechouart,La Chapelle,True,0.67,2.0,MOYENNE,MOYENNE,48.88385234986188,2.350573400888514,48.88447648340964,2.360430336162137,Métro 2
Jaurès,Stalingrad,True,0.41,2.0,MOYENNE,MOYENNE,48.88159683079925,2.370269867509251,48.88432054886986,2.365774370558169,Métro 2
La Chapelle,Stalingrad,True,0.36,2.0,MOYENNE,MOYENNE,48.88447648340964,2.360430336162137,48.88432054886986,2.365774370558169,Métro 2
Arts et Métiers,Réaumur - Sébastopol,True,0.33,1.5,FAIBLE,MOYENNE,48.86553459885931,2.3567233472754983,48.86628268363084,2.3520239377964742,Métro 3
Arts et Métiers,Temple,True,0.35,1.5,FAIBLE,MOYENNE,48.86553459885931,2.3567233472754983,48.86668483219092,2.361589378332189,Métro 3
Bourse,Quatre Septembre,True,0.31,2.0,MOYENNE,MOYENNE,48.86879284393317,2.340678546975881,48.86959592111917,2.3362786423248583,Métro 3
